date,group,ridership,on_time_pct,day_type,vehicle_type,fuel_liters,cost_usd,co2_kg
2025-01-01,Route B,935,87.7,Weekday,Diesel,88.9,193.20,238.3
2025-01-02,Route B,955,90.6,Weekday,Diesel,90.2,195.23,241.7
2025-01-03,Route B,816,86.9,Weekday,CNG,82.6,184.79,165.2
2025-01-04,Route B,644,89.0,Weekend,CNG,73.3,171.98,146.6
2025-01-05,Route B,757,92.1,Weekend,Hybrid,79.7,181.14,127.5
2025-01-06,Route B,847,90.6,Weekday,Hybrid,84.8,188.48,135.7
2025-01-07,Route B,1056,90.9,Weekday,Diesel,96.4,204.93,258.4
2025-01-08,Route B,907,86.3,Weekday,CNG,88.3,193.79,176.6
2025-01-09,Route B,994,85.6,Weekday,CNG,93.3,201.00,186.6
2025-01-10,Route B,895,90.1,Weekday,Hybrid,87.9,193.64,140.6
2025-01-11,Route B,627,90.5,Weekend,Hybrid,73.3,173.40,117.3
2025-01-12,Route B,535,87.6,Weekend,Diesel,68.4,166.75,183.3
2025-01-13,Route B,897,83.9,Weekday,Diesel,88.5,195.09,237.2
2025-01-14,Route B,1040,83.3,Weekday,CNG,96.5,206.50,193.0
2025-01-15,Route B,569,91.0,Holiday,CNG,70.7,170.58,141.4
2025-01-16,Route B,1007,83.2,Weekday,Hybrid,94.9,204.66,151.8
2025-01-17,Route B,932,87.6,Weekday,Hybrid,90.9,199.27,145.4
2025-01-18,Route B,629,91.9,Weekend,Diesel,74.4,176.37,199.4
2025-01-19,Route B,694,88.7,Weekend,Diesel,78.1,181.76,209.3
2025-01-20,Route B,917,86.3,Weekday,CNG,90.5,199.32,181.0
2025-01-21,Route B,977,89.4,Weekday,CNG,94.0,204.42,188.0
2025-01-22,Route B,1058,83.7,Weekday,Hybrid,98.5,210.93,157.6
2025-01-23,Route B,1044,81.5,Weekday,Hybrid,97.9,210.29,156.6
2025-01-24,Route B,878,89.1,Weekday,Diesel,88.9,197.90,238.3
2025-01-25,Route B,689,88.4,Weekend,Diesel,78.7,183.82,210.9
2025-01-26,Route B,679,88.8,Weekend,CNG,78.2,183.32,156.4
2025-01-27,Route B,892,89.8,Weekday,CNG,90.1,200.19,180.2
2025-01-28,Route B,993,85.1,Weekday,Hybrid,95.8,208.37,153.3
2025-01-29,Route B,1032,88.1,Weekday,Hybrid,98.1,211.80,157.0
2025-01-30,Route B,989,89.0,Weekday,Diesel,95.8,208.78,256.7
