date,group,ridership,on_time_pct,day_type,vehicle_type,fuel_liters,cost_usd,co2_kg
2025-01-01,Route C,712,83.1,Weekday,Diesel,76.9,176.78,206.1
2025-01-02,Route C,632,86.6,Weekday,Diesel,72.6,170.96,194.6
2025-01-03,Route C,616,81.7,Weekday,CNG,71.9,170.18,143.8
2025-01-04,Route C,500,85.7,Weekend,CNG,65.7,161.71,131.4
2025-01-05,Route C,591,91.5,Weekend,Hybrid,70.8,169.05,113.3
2025-01-06,Route C,667,90.3,Weekday,Diesel,75.1,175.28,201.3
2025-01-07,Route C,713,83.2,Weekday,Diesel,77.8,179.26,208.5
2025-01-08,Route C,774,87.4,Weekday,CNG,81.3,184.36,162.6
2025-01-09,Route C,656,85.2,Weekday,CNG,74.9,175.61,149.8
2025-01-10,Route C,616,81.6,Weekday,Hybrid,72.8,172.87,116.5
2025-01-11,Route C,558,94.4,Weekend,Hybrid,69.8,168.88,111.7
2025-01-12,Route C,486,90.4,Weekend,Diesel,66.0,163.76,176.9
2025-01-13,Route C,649,84.2,Weekday,Diesel,75.1,176.70,201.3
2025-01-14,Route C,693,83.0,Weekday,CNG,77.6,180.41,155.2
2025-01-15,Route C,473,86.1,Holiday,CNG,65.7,163.95,131.4
2025-01-16,Route C,706,85.4,Weekday,Hybrid,78.6,182.22,125.8
2025-01-17,Route C,642,82.8,Weekday,Hybrid,75.2,177.66,120.3
2025-01-18,Route C,508,90.8,Weekend,Diesel,68.0,167.78,182.2
2025-01-19,Route C,555,85.5,Weekend,Diesel,70.7,171.77,189.5
2025-01-20,Route C,679,87.7,Weekday,CNG,77.7,181.77,155.4
2025-01-21,Route C,659,87.0,Weekday,CNG,76.7,180.58,153.4
2025-01-22,Route C,706,87.1,Weekday,Hybrid,79.4,184.56,127.0
2025-01-23,Route C,673,79.9,Weekday,Hybrid,77.8,182.52,124.5
2025-01-24,Route C,597,85.5,Weekday,Diesel,73.7,176.99,197.5
2025-01-25,Route C,540,85.6,Weekend,Diesel,70.7,172.99,189.5
2025-01-26,Route C,563,83.3,Weekend,CNG,72.1,175.16,144.2
2025-01-27,Route C,677,81.6,Weekday,CNG,78.5,184.32,157.0
2025-01-28,Route C,699,85.3,Weekday,Hybrid,79.9,186.48,127.8
2025-01-29,Route C,703,84.0,Weekday,Hybrid,80.2,187.11,128.3
2025-01-30,Route C,739,83.4,Weekday,Diesel,82.3,190.25,220.6
2025-01-31,Route C,687,81.7,Weekday,Diesel,79.6,186.68,213.3
2025-02-01,Route C,553,92.4,Weekend,CNG,72.4,176.80,144.8
2025-02-02,Route C,457,85.6,Weekend,CNG,67.2,169.72,134.4
2025-02-03,Route C,703,84.4,Weekday,Hybrid,80.9,189.11,129.4
2025-02-04,Route C,739,83.2,Weekday,Hybrid,83.0,192.25,132.8
2025-02-05,Route C,740,84.5,Weekday,Diesel,83.2,192.74,223.0
2025-02-06,Route C,749,85.7,Weekday,Diesel,83.8,193.78,224.6
2025-02-07,Route C,673,83.7,Weekday,CNG,79.8,188.38,159.6
2025-02-08,Route C,520,86.6,Weekend,CNG,71.5,176.97,143.0
2025-02-09,Route C,560,86.6,Weekend,Hybrid,65.8,157.19,105.3
2025-02-10,Route C,696,91.0,Weekday,Hybrid,73.5,168.18,117.6
2025-02-11,Route C,760,83.8,Weekday,Diesel,77.1,173.42,206.6
2025-02-12,Route C,783,83.5,Weekday,Diesel,78.5,175.58,210.4
2025-02-13,Route C,640,81.7,Weekday,CNG,70.8,165.01,141.6
2025-02-14,Route C,599,83.6,Weekday,CNG,68.7,162.27,137.4
2025-02-15,Route C,541,92.7,Weekend,Hybrid,65.6,158.14,105.0
2025-02-16,Route C,561,87.0,Weekend,Hybrid,66.9,160.16,107.0
2025-02-17,Route C,719,78.0,Weekday,Diesel,75.7,172.68,202.9
2025-02-18,Route C,742,86.9,Weekday,Diesel,77.1,174.85,206.6
2025-02-19,Route C,693,88.0,Weekday,CNG,74.5,171.41,149.0
2025-02-20,Route C,727,83.3,Weekday,CNG,76.5,174.42,153.0
2025-02-21,Route C,690,91.3,Weekday,Hybrid,74.6,171.96,119.4
2025-02-22,Route C,549,88.2,Weekend,Hybrid,67.0,161.52,107.2
2025-02-23,Route C,536,84.9,Weekend,Diesel,66.4,160.89,178.0
2025-02-24,Route C,723,81.8,Weekday,CNG,76.9,175.79,153.8
2025-02-25,Route C,740,82.9,Weekday,CNG,77.9,177.40,155.8
2025-02-26,Route C,766,85.3,Weekday,Hybrid,79.5,179.84,127.2
2025-02-27,Route C,756,82.8,Weekday,Hybrid,79.1,179.48,126.6
2025-02-28,Route C,662,81.3,Weekday,Diesel,74.0,172.55,198.3
2025-03-01,Route C,530,88.4,Weekend,Diesel,66.9,162.81,179.3
2025-03-02,Route C,582,84.4,Weekend,CNG,69.9,167.22,139.8
2025-03-03,Route C,728,88.2,Weekday,CNG,78.1,178.90,156.2
2025-03-04,Route C,756,89.8,Weekday,Hybrid,79.8,181.48,127.7
2025-03-05,Route C,726,80.4,Weekday,Hybrid,78.2,179.45,125.1
2025-03-06,Route C,661,88.6,Weekday,Diesel,74.8,174.89,200.5
2025-03-07,Route C,698,83.9,Weekday,Diesel,77.0,178.18,206.4
2025-03-08,Route C,558,83.6,Weekend,CNG,69.4,167.74,138.8
2025-03-09,Route C,644,87.4,Weekend,CNG,74.3,174.80,148.6
2025-03-10,Route C,705,86.1,Weekday,Hybrid,77.8,179.91,124.5
2025-03-11,Route C,762,84.6,Weekday,Hybrid,81.0,184.59,129.6
2025-03-12,Route C,729,85.3,Weekday,Diesel,79.4,182.56,212.8
2025-03-13,Route C,793,87.9,Weekday,Diesel,83.0,187.80,222.4
2025-03-14,Route C,735,82.3,Weekday,CNG,80.0,183.80,160.0
2025-03-15,Route C,517,86.4,Weekend,CNG,68.1,167.35,136.2
2025-03-16,Route C,563,90.1,Weekend,Hybrid,70.8,171.33,113.3
2025-03-17,Route C,646,88.3,Weekday,Hybrid,75.5,178.12,120.8
2025-03-18,Route C,744,82.4,Weekday,Diesel,81.0,186.02,217.1
2025-03-19,Route C,726,78.7,Weekday,Diesel,80.1,184.96,214.7
2025-03-20,Route C,760,83.9,Weekday,CNG,82.2,188.11,164.4
2025-03-21,Route C,637,79.7,Weekday,CNG,75.5,178.93,151.0
2025-03-22,Route C,543,91.6,Weekend,Hybrid,70.5,172.14,112.8
2025-03-23,Route C,555,82.1,Weekend,Hybrid,71.3,173.46,114.1
2025-03-24,Route C,700,82.7,Weekday,Diesel,79.4,185.00,212.8
2025-03-25,Route C,659,83.3,Weekday,Diesel,77.3,182.27,207.2
2025-03-26,Route C,757,85.6,Weekday,CNG,82.8,190.17,165.6
2025-03-27,Route C,800,86.8,Weekday,CNG,85.3,193.88,170.6
2025-03-28,Route C,677,80.1,Weekday,Hybrid,78.7,184.84,125.9
2025-03-29,Route C,648,86.6,Weekend,Hybrid,77.2,182.94,123.5
2025-03-30,Route C,568,86.3,Weekend,Diesel,73.0,177.27,195.6
2025-03-31,Route C,719,82.9,Weekday,Diesel,81.4,189.23,218.2
2025-04-01,Route C,472,84.7,Holiday,CNG,67.9,170.54,135.8
2025-04-02,Route C,768,81.6,Weekday,CNG,84.4,193.84,168.8
2025-04-03,Route C,714,83.6,Weekday,Hybrid,81.5,189.98,130.4
2025-04-04,Route C,681,87.7,Weekday,Hybrid,79.8,187.81,127.7
2025-04-05,Route C,468,89.5,Weekend,Diesel,68.3,171.91,183.0
2025-04-06,Route C,614,79.9,Weekend,Diesel,76.4,183.46,204.8
2025-04-07,Route C,704,82.0,Weekday,CNG,81.5,190.80,163.0
2025-04-08,Route C,712,80.8,Weekday,CNG,82.1,191.84,164.2
2025-04-09,Route C,734,88.3,Weekday,Hybrid,75.4,170.67,120.6
2025-04-10,Route C,775,86.8,Weekday,Hybrid,77.8,174.23,124.5
2025-04-11,Route C,719,79.6,Weekday,Diesel,74.9,170.38,200.7
2025-04-12,Route C,545,87.4,Weekend,Diesel,65.5,157.42,175.5
2025-04-13,Route C,530,88.1,Weekend,CNG,64.8,156.64,129.6
2025-04-14,Route C,711,81.8,Weekday,CNG,74.9,170.99,149.8
2025-04-15,Route C,790,84.2,Weekday,Hybrid,79.3,177.35,126.9
2025-04-16,Route C,764,86.3,Weekday,Diesel,78.0,175.74,209.0
2025-04-17,Route C,709,84.7,Weekday,Diesel,75.2,172.02,201.5
2025-04-18,Route C,718,81.9,Weekday,CNG,75.8,173.06,151.6
2025-04-19,Route C,578,82.0,Weekend,CNG,68.2,162.63,136.4
2025-04-20,Route C,608,85.2,Weekend,Hybrid,70.0,165.35,112.0
2025-04-21,Route C,705,85.8,Weekday,Hybrid,75.5,173.26,120.8
2025-04-22,Route C,745,78.4,Weekday,Diesel,77.8,176.68,208.5
2025-04-23,Route C,727,84.5,Weekday,Diesel,77.0,175.76,206.4
2025-04-24,Route C,705,87.9,Weekday,CNG,75.9,174.43,151.8
2025-04-25,Route C,628,87.7,Weekday,CNG,71.8,168.89,143.6
2025-04-26,Route C,576,85.3,Weekend,Hybrid,69.1,165.32,110.6
2025-04-27,Route C,560,86.7,Weekend,Hybrid,68.3,164.40,109.3
2025-04-28,Route C,726,85.8,Weekday,Diesel,77.6,177.62,208.0
2025-04-29,Route C,777,82.9,Weekday,Diesel,80.5,181.89,215.7
