date,group,ridership,on_time_pct,day_type,vehicle_type,fuel_liters,cost_usd,co2_kg
2025-01-01,Route D,601,86.9,Weekday,Diesel,71.0,168.89,190.3
2025-01-02,Route D,536,94.2,Weekday,CNG,67.6,164.33,135.2
2025-01-03,Route D,536,91.4,Weekday,CNG,67.7,164.68,135.4
2025-01-04,Route D,356,96.0,Weekend,Hybrid,58.0,151.30,92.8
2025-01-05,Route D,349,92.5,Weekend,Hybrid,57.7,151.08,92.3
2025-01-06,Route D,557,88.9,Weekday,Diesel,69.3,167.53,185.7
2025-01-07,Route D,597,86.7,Weekday,Diesel,71.6,170.95,191.9
2025-01-08,Route D,622,93.2,Weekday,CNG,73.2,173.40,146.4
2025-01-09,Route D,579,94.7,Weekday,CNG,70.9,170.38,141.8
2025-01-10,Route D,576,94.8,Weekday,Hybrid,70.9,170.58,113.4
2025-01-11,Route D,312,90.9,Weekend,Hybrid,56.5,150.63,90.4
2025-01-12,Route D,348,94.7,Weekend,Diesel,58.6,153.77,157.0
2025-01-13,Route D,568,89.5,Weekday,Diesel,70.9,171.20,190.0
2025-01-14,Route D,595,89.3,Weekday,CNG,72.5,173.64,145.0
2025-01-15,Route D,284,90.4,Holiday,CNG,55.5,150.04,111.0
2025-01-16,Route D,553,87.5,Weekday,Hybrid,70.4,171.11,112.6
2025-01-17,Route D,513,94.7,Weekday,Hybrid,68.4,168.51,109.4
2025-01-18,Route D,336,98.0,Weekend,Diesel,58.8,155.28,157.6
2025-01-19,Route D,378,95.0,Weekend,Diesel,61.2,158.84,164.0
2025-01-20,Route D,537,93.5,Weekday,CNG,70.1,171.50,140.2
2025-01-21,Route D,579,91.8,Weekday,CNG,72.6,175.21,145.2
2025-01-22,Route D,667,91.1,Weekday,Hybrid,77.5,182.27,124.0
2025-01-23,Route D,608,89.2,Weekday,Hybrid,74.4,178.14,119.0
2025-01-24,Route D,540,96.6,Weekday,Diesel,70.8,173.30,189.7
2025-01-25,Route D,346,98.0,Weekend,Diesel,60.3,158.80,161.6
2025-01-26,Route D,386,92.6,Weekend,CNG,62.6,162.23,125.2
2025-01-27,Route D,577,94.1,Weekday,CNG,73.3,177.41,146.6
2025-01-28,Route D,613,86.5,Weekday,Hybrid,75.4,180.56,120.6
2025-01-29,Route D,588,90.4,Weekday,Hybrid,74.1,178.94,118.6
2025-01-30,Route D,580,93.0,Weekday,Diesel,73.8,178.72,197.8
2025-01-31,Route D,548,87.1,Weekday,Diesel,72.2,176.69,193.5
2025-02-01,Route D,373,95.9,Weekend,CNG,62.7,163.59,125.4
2025-02-02,Route D,384,97.3,Weekend,CNG,63.5,164.92,127.0
2025-02-03,Route D,585,92.4,Weekday,Hybrid,74.7,180.80,119.5
2025-02-04,Route D,599,86.0,Weekday,Hybrid,75.6,182.26,121.0
2025-02-05,Route D,620,91.6,Weekday,Diesel,76.9,184.29,206.1
2025-02-06,Route D,592,87.1,Weekday,Diesel,75.4,182.39,202.1
2025-02-07,Route D,520,94.0,Weekday,CNG,63.6,154.08,127.2
2025-02-08,Route D,365,95.9,Weekend,CNG,55.2,142.52,110.4
2025-02-09,Route D,373,93.9,Weekend,Hybrid,55.8,143.56,89.3
2025-02-10,Route D,591,89.3,Weekday,Hybrid,67.9,160.71,108.6
2025-02-11,Route D,606,89.4,Weekday,Diesel,68.9,162.31,184.7
2025-02-12,Route D,602,89.8,Weekday,Diesel,68.8,162.38,184.4
2025-02-13,Route D,594,89.3,Weekday,CNG,68.5,162.16,137.0
2025-02-14,Route D,581,88.0,Weekday,CNG,67.9,161.52,135.8
2025-02-15,Route D,363,92.3,Weekend,Hybrid,56.1,145.21,89.8
2025-02-16,Route D,410,94.2,Weekend,Hybrid,58.8,149.19,94.1
2025-02-17,Route D,596,86.1,Weekday,Diesel,69.2,163.96,185.5
2025-02-18,Route D,614,93.2,Weekday,Diesel,70.3,165.70,188.4
2025-02-19,Route D,618,93.7,Weekday,CNG,70.6,166.32,141.2
2025-02-20,Route D,579,94.7,Weekday,CNG,68.6,163.73,137.2
2025-02-21,Route D,610,89.4,Weekday,Hybrid,70.5,166.59,112.8
2025-02-22,Route D,359,97.8,Weekend,Diesel,56.8,147.62,152.2
2025-02-23,Route D,416,91.8,Weekend,Diesel,60.1,152.44,161.1
2025-02-24,Route D,563,89.5,Weekday,CNG,68.3,164.12,136.6
2025-02-25,Route D,577,87.6,Weekday,CNG,69.2,165.59,138.4
2025-02-26,Route D,594,88.0,Weekday,Hybrid,70.3,167.33,112.5
2025-02-27,Route D,594,91.0,Weekday,Hybrid,70.4,167.68,112.6
2025-02-28,Route D,594,87.3,Weekday,Diesel,70.6,168.16,189.2
2025-03-01,Route D,396,92.6,Weekend,Diesel,59.8,153.24,160.3
2025-03-02,Route D,377,95.2,Weekend,CNG,58.9,152.19,117.8
2025-03-03,Route D,549,91.3,Weekday,CNG,68.5,165.83,137.0
2025-03-04,Route D,618,91.6,Weekday,Hybrid,72.4,171.50,115.8
2025-03-05,Route D,630,97.5,Weekday,Hybrid,73.2,172.82,117.1
2025-03-06,Route D,582,88.5,Weekday,Diesel,70.7,169.52,189.5
2025-03-07,Route D,543,88.4,Weekday,Diesel,68.7,166.93,184.1
2025-03-08,Route D,358,96.6,Weekend,CNG,58.7,153.13,117.4
2025-03-09,Route D,416,91.3,Weekend,CNG,62.0,157.96,124.0
2025-03-10,Route D,559,91.4,Weekday,Hybrid,70.0,169.36,112.0
2025-03-11,Route D,603,91.8,Weekday,Hybrid,72.5,173.06,116.0
2025-03-12,Route D,631,85.4,Weekday,Diesel,74.2,175.65,198.9
2025-03-13,Route D,640,95.3,Weekday,Diesel,74.8,176.69,200.5
2025-03-14,Route D,546,88.7,Weekday,CNG,69.8,169.90,139.6
2025-03-15,Route D,383,93.8,Weekend,CNG,61.0,157.78,122.0
2025-03-16,Route D,399,98.0,Weekend,Hybrid,62.0,159.38,99.2
2025-03-17,Route D,579,87.4,Weekday,Hybrid,72.0,173.59,115.2
2025-03-18,Route D,585,87.5,Weekday,Diesel,72.5,174.49,194.3
2025-03-19,Route D,629,95.1,Weekday,Diesel,75.1,178.34,201.3
2025-03-20,Route D,592,90.3,Weekday,CNG,73.2,175.88,146.4
2025-03-21,Route D,564,93.2,Weekday,CNG,71.8,174.12,143.6
2025-03-22,Route D,441,91.0,Weekend,Hybrid,65.1,164.95,104.2
2025-03-23,Route D,372,95.7,Weekend,Hybrid,61.5,160.11,98.4
2025-03-24,Route D,603,95.1,Weekday,Diesel,74.3,178.24,199.1
2025-03-25,Route D,638,88.4,Weekday,Diesel,76.4,181.38,204.8
2025-03-26,Route D,648,92.8,Weekday,CNG,77.1,182.56,154.2
2025-03-27,Route D,628,91.0,Weekday,CNG,76.1,181.37,152.2
2025-03-28,Route D,594,92.9,Weekday,Hybrid,74.4,179.19,119.0
2025-03-29,Route D,414,94.3,Weekend,Hybrid,64.6,165.68,103.4
2025-03-30,Route D,382,92.8,Weekend,Diesel,63.0,163.64,168.8
2025-03-31,Route D,619,86.9,Weekday,Diesel,76.1,182.18,203.9
2025-04-01,Route D,322,91.1,Holiday,CNG,59.9,159.71,119.8
2025-04-02,Route D,637,93.1,Weekday,CNG,77.4,184.41,154.8
2025-04-03,Route D,616,89.4,Weekday,Hybrid,76.4,183.22,122.2
2025-04-04,Route D,536,91.4,Weekday,Hybrid,72.1,177.40,115.4
