date,group,ridership,on_time_pct,day_type,vehicle_type,fuel_liters,cost_usd,co2_kg
2025-01-01,Route F,533,87.76,Weekday,Diesel,67.9,165.39,182.0
2025-01-02,Route F,540,87.896,Weekday,CNG,68.4,166.29,136.8
2025-01-03,Route F,547,88.032,Weekday,CNG,68.9,167.20,137.8
2025-01-04,Route F,554,88.168,Weekend,Hybrid,69.4,168.10,111.0
2025-01-05,Route F,560,88.304,Weekend,Hybrid,69.9,169.00,111.8
2025-01-06,Route F,567,88.44,Weekday,Diesel,70.4,169.91,188.7
2025-01-07,Route F,574,88.576,Weekday,Diesel,70.9,170.81,190.0
2025-01-08,Route F,581,88.712,Weekday,CNG,71.5,171.86,143.0
2025-01-09,Route F,588,88.848,Weekday,CNG,72.0,172.76,144.0
2025-01-10,Route F,594,88.984,Weekday,Hybrid,72.4,173.52,115.8
2025-01-11,Route F,601,89.12,Weekend,Hybrid,73.0,174.57,116.8
2025-01-12,Route F,608,89.256,Weekend,Diesel,73.5,175.47,197.0
2025-01-13,Route F,615,89.392,Weekday,Diesel,74.0,176.38,198.3
2025-01-14,Route F,622,89.528,Weekday,CNG,74.5,177.28,149.0
2025-01-15,Route F,628,89.664,Holiday,CNG,75.0,178.18,150.0
2025-01-16,Route F,635,89.8,Weekday,Hybrid,75.5,179.09,120.8
2025-01-17,Route F,642,89.936,Weekday,Hybrid,76.0,179.99,121.6
2025-01-18,Route F,649,90.072,Weekend,Diesel,76.6,181.04,205.3
2025-01-19,Route F,656,90.208,Weekend,Diesel,77.1,181.94,206.6
2025-01-20,Route F,662,90.344,Weekday,CNG,77.5,182.70,155.0
2025-01-21,Route F,669,90.48,Weekday,CNG,78.1,183.75,156.2
2025-01-22,Route F,676,90.616,Weekday,Hybrid,78.6,184.65,125.8
2025-01-23,Route F,683,90.752,Weekday,Hybrid,79.1,185.56,126.6
2025-01-24,Route F,690,90.888,Weekday,Diesel,79.6,186.46,213.3
2025-01-25,Route F,696,91.024,Weekend,Diesel,80.1,187.36,214.7
2025-01-26,Route F,703,91.16,Weekend,CNG,80.6,188.27,161.2
2025-01-27,Route F,710,91.296,Weekday,CNG,81.1,189.17,162.2
2025-01-28,Route F,717,91.432,Weekday,Hybrid,81.7,190.22,130.7
2025-01-29,Route F,724,91.568,Weekday,Hybrid,82.2,191.12,131.5
2025-01-30,Route F,730,91.704,Weekday,Diesel,82.6,191.88,221.4
2025-01-31,Route F,737,91.84,Weekday,Diesel,83.2,192.93,223.0
2025-02-01,Route F,744,91.976,Weekend,CNG,83.7,193.83,167.4
2025-02-02,Route F,751,92.112,Weekend,CNG,84.2,194.74,168.4
2025-02-03,Route F,758,92.248,Weekday,Hybrid,76.7,172.44,122.7
2025-02-04,Route F,764,92.384,Weekday,Hybrid,77.2,173.34,123.5
2025-02-05,Route F,771,92.52,Weekday,Diesel,77.7,174.25,208.2
2025-02-06,Route F,778,92.656,Weekday,Diesel,78.2,175.15,209.6
2025-02-07,Route F,785,92.792,Weekday,CNG,78.8,176.20,157.6
2025-02-08,Route F,792,92.928,Weekend,CNG,79.3,177.10,158.6
2025-02-09,Route F,798,93.064,Weekend,Hybrid,79.7,177.86,127.5
2025-02-10,Route F,805,93.2,Weekday,Hybrid,80.3,178.91,128.5
2025-02-11,Route F,812,93.336,Weekday,Diesel,80.8,179.81,216.5
2025-02-12,Route F,819,93.472,Weekday,Diesel,81.3,180.72,217.9
2025-02-13,Route F,826,93.608,Weekday,CNG,81.8,181.62,163.6
2025-02-14,Route F,832,93.744,Weekday,CNG,82.3,182.52,164.6
